Year,State,Shopping expenditure,Purchase of automotive fuel expenditure,Transportation expenditure,Food & beverage expenditure,Accomodation expenditure,Entrance ticket expenditure,Other expenditure,Visited household expediture,Tourism receipts (RM),Domestic visitor,Tourism trip,Average receipts per capita (RM),Average receipts per trip (RM),Average length of stay (day),Household,Income mean (RM),Income median (RM),Expenditure mean (RM),Expenditure burden (%),Inflation (%),Receipts per visitor (RM),Receipts per household (RM)
2022,Perak,1417637,804713,327462,835412,315002,160105,160918,520082,4541000000,14567000,17680000,312,257,2.43,695300,5779,4494,3903,86.85,3.23,311.73,6530.99
2023,Perak,1660659,936541,349674,1089592,659307,174448,190028,580776,5641000000,17108000,18831000,330,300,2.35,706800,,,,,2.78,329.73,7981.04
2024,Perak,1993046,1180876,470561,1498753,757903,191682,252178,878798,7224000000,21776000,23904000,332,302,2.35,718500,6173,4687,4232,90.29,1.08,331.74,10054.28
2025,Perak,2250351,1390860,543730,1637041,795667,228115,269117,903656,8019000000,23642000,25697000,339,312,2.44,,,,,,0.84,339.18,
2018,Perlis,102474,153335,87191,109258,58629,5449,32736,67678,617000000,2156000,2816000,286,219,2.32,59900,,,,,-0.06,286.18,10300.50
2019,Perlis,109341,151221,78263,91549,41349,5569,29373,72140,579000000,2087000,2695000,277,215,2.55,60800,5476,4594,,,0.38,277.43,9523.03
2020,Perlis,65848,33579,24604,51894,17140,1616,2816,26570,224000000,1193000,1247000,188,180,2.45,80850,4971,4043,,,-2.13,187.76,2770.56
2021,Perlis,26022,12963,3628,17320,8390,417,917,8357,78000000,407000,427000,192,183,2.21,84300,,,,,2.92,191.65,925.27
2022,Perlis,140215,73487,38066,79949,51564,5423,19939,46977,456000000,1669000,1800000,273,253,2.35,87700,5664,4713,3834,81.35,3.18,273.22,5199.54
2023,Perlis,159277,104736,43644,104970,72931,8131,22783,67397,584000000,1951000,2139000,299,273,2.21,91300,,,,,2.15,299.33,6396.50
2024,Perlis,288897,162108,76212,192032,98789,27211,35694,121871,1003000000,3225000,3660000,311,274,2.49,94900,5996,4950,4084,82.51,1.73,311.01,10569.02
2025,Perlis,327519,213863,101611,246445,118121,35913,38481,129250,1211000000,3756000,4335000,322,279,2.25,,,,,,0.95,322.42,
2018,Sabah,2860664,896820,628197,854017,597868,371756,365538,932714,7508000000,30360000,28299000,369,265,2.68,690600,,,,,0.64,247.30,10871.71
2019,Sabah,3048828,970677,707750,1011799,624711,373391,380808,962702,8081000000,22035000,31438000,367,257,2.79,702700,5745,4235,,,0.10,366.73,11499.93
2020,Sabah,1516396,231281,200815,388470,164346,22918,38799,113747,2677000000,10337000,10861000,259,246,1.96,728201,5215,3773,,,-1.86,258.97,3676.18
2021,Sabah,531105,119257,55116,138346,59120,50802,577777,40499,1052000000,3815000,4006000,276,263,2.31,747200,,,,,1.59,275.75,1407.92
2022,Sabah,1840070,612846,452575,723178,520313,208465,149094,319329,4826000000,12589000,17255000,383,280,3.06,766600,6171,4577,3342,73.02,2.95,383.35,6295.33
2023,Sabah,2461886,789981,547792,1093929,1008654,274259,176522,350492,6713000000,16080000,19900000,417,337,2.67,786300,,,,,2.34,417.48,8537.45
2024,Sabah,3176540,986736,729374,1287622,1034404,458795,290917,669858,8634000000,20592000,24106000,419,358,3.01,806300,6498,4890,3547,72.54,1.24,419.29,10708.17
2025,Sabah,3589154,1250952,836013,1459229,1073566,508780,309257,726377,9753000000,22361000,26441000,436,369,3.15,,,,,,1.17,436.16,
2018,Sarawak,3544332,870518,869409,848960,444393,174760,426271,966165,8145000000,19380000,23617000,420,345,3.39,654600,,,,,0.63,420.28,12442.71
2019,Sarawak,3777463,1006662,817513,962259,498419,183370,440953,984105,8671000000,19793000,24880000,438,349,3.43,667000,5959,4544,,,0.05,438.08,13000.00
2020,Sarawak,1923590,303416,202158,579087,186528,13967,45492,130433,3385000000,9393000,11077000,360,306,2.55,618108,5087,3831,,,-1.76,360.37,5476.39
2021,Sarawak,1171089,238430,107222,205512,69026,60829,13916,69234,1935000000,6511000,7137000,297,271,3.03,627400,,,,,2.11,297.19,3084.16
2022,Sarawak,2328732,761610,482660,738278,397027,150538,186510,385417,5431000000,15465000,19291000,351,282,3.52,636700,6457,4978,3915,78.65,3.15,351.18,8529.92
2023,Sarawak,2655605,989487,569398,981635,779551,225768,238725,502504,6943000000,17901000,21077000,388,329,3.48,646400,,,,,3.10,387.86,10741.03
2024,Sarawak,3208490,1033752,700774,1124258,823116,243995,290781,531505,7957000000,19626000,23362000,405,341,3.09,656300,6947,5504,4281,77.78,2.37,405.43,12124.03
2025,Sarawak,3647933,1266911,789285,1314346,872604,296203,310811,640282,9138000000,22722000,26388000,402,346,3.10,,,,,,0.96,402.17,
2018,Selangor,6032170,1684506,1032122,1767738,713080,381296,576082,1002342,13189000000,30179000,41388000,437,319,1.87,1760000,,,,,1.39,437.03,7493.75
2019,Selangor,7259504,1948676,1073240,2240056,926978,414967,630062,1050925,15544000000,33589000,45766000,463,340,2.24,1804200,10827,8210,5830,71.01,0.89,462.77,8615.45
2020,Selangor,4328325,469493,433538,1199124,156119,46384,231763,186716,7051000000,19715000,21898000,358,322,1.64,1836410,9668,7300,,,-0.59,357.65,3839.56
2021,Selangor,1653885,319873,103949,594871,137614,157803,73432,117137,3159000000,10212000,11319000,309,279,1.83,1894200,,,,,2.65,309.34,1667.72
2022,Selangor,3854964,1174775,673359,1170119,669944,256033,305404,630209,8735000000,21990000,25988000,397,336,2.32,1952800,12233,9983,6770,67.82,4.17,397.23,4473.06
2023,Selangor,4144811,1562916,769174,1847020,1299080,351236,407906,720570,11103000000,27579000,28949000,403,384,2.24,2012500,,,,,2.85,402.59,5517.02
2024,Selangor,6091680,1816491,911441,2224198,1369214,508593,577145,727363,14226000000,34461000,37023000,413,384,2.24,2073199,13296,10726,7266,67.74,2.18,412.81,6861.86
2025,Selangor,6661693,2166560,1043955,2482164,1487463,562999,599805,757086,15762000000,36376000,40803000,433,386,2.31,,,,,,1.68,433.31,
2018,Terengganu,2155303,974349,163114,1066433,382993,53663,275346,514138,5585000000,13742000,22651000,406,247,2.60,258800,,,,,0.44,406.42,21580.37
2019,Terengganu,2296776,1059305,191227,1132728,418942,65925,292096,533014,5990000000,14158000,24902000,423,241,2.58,264500,6815,5545,,,0.78,423.08,22646.50
2020,Terengganu,1181271,172369,80933,543289,58179,20821,67872,129773,2255000000,7420000,10084000,304,224,2.06,282373,6051,4790,,,-1.28,303.91,7985.89
2021,Terengganu,419566,100429,34569,206405,106273,57983,9205,49682,984000000,3719000,4129000,265,238,2.20,290400,,,,,3.44,264.59,3388.43
2022,Terengganu,1491085,457090,195005,524112,292024,71732,126640,205609,3363000000,10233000,12791000,329,263,2.69,298600,7248,5878,4796,81.59,3.05,328.64,11262.56
2023,Terengganu,1650481,582975,248973,791250,359323,98603,165869,294844,4192000000,11761000,13869000,356,302,2.59,306900,,,,,1.8,356.43,13659.17
2024,Terengganu,2033824,663228,309689,947370,437078,140166,222002,417004,5170000000,14461000,16499000,358,313,2.50,315500,7627,6627,5219,78.75,1.5,357.51,16386.69
2025,Terengganu,2245804,785512,366951,1071007,489089,157562,243738,435480,5795000000,15462000,18201000,375,318,2.76,,,,,,1.3,374.79,
